#,Title,Box Office,Year,Ref(s)
1,Pokémon: The First Movie,"$85,744,662",1999,[131]
2,Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train,"$49,505,008",2020,[132]
3,The Boy and the Heron,"$46,832,867",2023,[133]
4,Pokémon: The Movie 2000,"$43,758,684",2000,[134]
5,Dragon Ball Super: Super Hero,"$38,112,140",2022,[135]
6,Jujutsu Kaisen 0: The Movie,"$34,542,754",2021,[136]
7,Dragon Ball Super: Broly,"$30,712,119",2018,[137]
8,Yu-Gi-Oh! The Movie: Pyramid of Light,"$19,887,556",2004,[138]
9,The Secret World of Arrietty,"$19,202,743",2012,[139]
10,Demon Slayer: Kimetsu no Yaiba – To the Hashira Training,"$17,657,658",2024,[140]
11,Pokémon 3: The Movie,"$17,052,128",2001,[141]
12,Ponyo,"$15,743,471",2009,[142]
13,Spirited Away,"$15,205,725",2002,[143]
14,My Hero Academia: Heroes Rising,"$13,304,000",2020,[144]
15,One Piece Film: Red,"$12,775,324",2022,[145]
16,My Hero Academia: World Heroes' Mission,"$12,271,658",2021,[146]
17,Suzume,"$10,932,037",2023,[147]
18,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$10,117,806",2023,[148]
19,Digimon: The Movie,"$9,631,153",2000,[149]
20,Weathering with You,"$8,056,636",2019,[150]
21,Dragon Ball Z: Resurrection 'F',"$8,008,363",2015,[151][152]
22,Howl's Moving Castle,"$6,789,268",2005,[153]
23,My Hero Academia: Two Heroes,"$5,754,556",2018,[154]
24,The Wind Rises,"$5,209,580",2014,[155]
25,Your Name,"$5,017,246",2016,[156]
26,Princess Mononoke,"$4,845,631",1999,[157]
27,Belle,"$4,018,313",2021,[158]
28,Dragon Ball Z: Battle of Gods,"$2,553,002",2014,[159]
29,Promare,"$2,529,324",2019,[160]
30,Mary and the Witch's Flower,"$2,418,404",2018,[161]
31,My Neighbor Totoro,"$2,250,213",2017,[162]
32,Pokémon 4Ever,"$1,727,447",2002,[163]
33,Sword Art Online The Movie: Ordinal Scale,"$1,522,976",2017,[164]
34,One Piece: Stampede,"$1,298,528",2019,[165]
35,KonoSuba: God's Blessing on This Wonderful World! Legend of Crimson,"$1,134,786",2019,[166]
36,Sword Art Online Progressive: Aria of a Starless Night,"$1,050,000",2021,[167]
37,Ghost in the Shell 2: Innocence,"$1,043,896",2004,[168]
38,Yu-Gi-Oh! The Dark Side of Dimensions,"$1,015,339",2017,[169]
39,From Up on Poppy Hill,"$1,002,895",2013,[170]
40,Cowboy Bebop: The Movie,"$1,000,045",2001,[171]
41,Boruto: Naruto the Movie,"$919,651",2015,[172]
42,Paprika,"$882,267",2006,[173]
43,Mirai,"$812,794",2018,[174]
44,Sailor Moon R: The Movie,"$787,750",2017,[175]
45,Pokémon Heroes,"$746,381",2002,[176]
46,Metropolis,"$722,932",2001,[177]
47,The Tale of the Princess Kaguya,"$703,232",2013,[178]
48,Dragon Ball Z: Broly – The Legendary Super Saiyan,"$658,982",2018,[179]
49,A Silent Voice,"$644,391",2016,[180]
50,The Cat Returns,"$563,718",2002,[181]
